Nr Distrito;Nome Distrito
1;Agua Rasa
2;Alto de Pinheiros
3;Anhanguera
4;Aricanduva
5;Artur Alvim
6;Barra Funda
7;Bela Vista
8;Belem
9;Bom Retiro
10;Bras
11;Brasilandia
12;Butanta
13;Cachoeirinha
14;Cambuci
15;Campo Belo
16;Campo Grande
17;Campo Limpo
18;Cangaiba
19;Capao Redondo
20;Carrao
21;Casa Verde
22;Cidade Ademar
23;Cidade Dutra
24;Cidade Lider
25;Cidade Tiradentes
26;Consolacao
27;Cursino
28;Ermelino Matarazzo
29;Freguesia Do O
30;Grajau
31;Guaianases
32;Moema
33;Iguatemi
34;Ipiranga
35;Itaim Bibi
36;Itaim Paulista
37;Itaquera
38;Jabaquara
39;Jacana
40;Jaguara
41;Jaguare
42;Jaragua
43;Jardim Angela
44;Jardim Helena
45;Jardim Paulista
46;Jardim Sao Luis
47;Jose Bonifacio
48;Lapa
49;Liberdade
50;Limao
51;Mandaqui
52;Marsilac
53;Mooca
54;Morumbi
55;Parelheiros
56;Pari
57;Parque Do Carmo
58;Pedreira
59;Penha
60;Perdizes
61;Perus
62;Pinheiros
63;Pirituba
64;Ponte Rasa
65;Raposo Tavares
66;Republica
67;Rio Pequeno
68;Sacoma
69;Santa Cecilia
70;Santana
71;Santo Amaro
72;Sao Lucas
73;Sao Mateus
74;Sao Miguel
75;Sao Rafael
76;Sapopemba
77;Saude
78;Se
79;Socorro
80;Tatuape
81;Tremembe
82;Tucuruvi
83;Vila Andrade
84;Vila Curuca
85;Vila Formosa
86;Vila Guilherme
87;Vila Jacui
88;Vila Leopoldina
89;Vila Maria
90;Vila Mariana
91;Vila Matilde
92;Vila Medeiros
93;Vila Prudente
94;Vila Sonia
95;Sao Domingos
96;Lajeado
